DateTime,RecvRate,LostRate,DropRate,AvailBw,RTT,RecvBufs,PdDelay
2023-05-17T20:22:15+0800,32487,0,0,171175,166.529,1278,1300
2023-05-17T20:22:20+0800,36729,0,0,159533,166.409,1279,1300
2023-05-17T20:22:25+0800,34610,0,0,177920,166.282,1281,1300
2023-05-17T20:22:30+0800,34553,0,0,138121,166.241,1282,1300
2023-05-17T20:22:35+0800,34326,0,0,145487,166.006,1283,1300
2023-05-17T20:22:40+0800,34520,0,0,138393,165.991,1283,1300
2023-05-17T20:22:45+0800,34754,0,0,165539,166.069,1284,1300
2023-05-17T20:22:50+0800,33844,0,0,138143,165.722,1284,1300
2023-05-17T20:22:55+0800,30626,0,0,116970,165.572,1286,1300
2023-05-17T20:23:00+0800,2286,0,0,14677,165.669,1288,1300
2023-05-17T20:23:05+0800,32382,0,0,168901,165.535,1289,1300
2023-05-17T20:23:10+0800,35275,0,0,195742,165.454,1289,1300
2023-05-17T20:23:15+0800,33229,0,0,168357,165.293,1288,1300
2023-05-17T20:23:20+0800,35304,0,0,209004,165.127,1287,1300
2023-05-17T20:23:25+0800,33674,0,0,144464,165.030,1285,1300
2023-05-17T20:23:30+0800,34845,0,0,46446,164.889,1285,1300
2023-05-17T20:23:35+0800,33296,0,0,165571,164.780,1283,1300
2023-05-17T20:23:40+0800,36226,0,0,153288,164.725,1283,1300
2023-05-17T20:23:45+0800,32094,0,0,145073,164.731,1285,1300
2023-05-17T20:23:50+0800,36854,0,0,143191,164.721,1287,1300
2023-05-17T20:23:55+0800,34872,0,0,145335,164.686,1286,1300
2023-05-17T20:24:00+0800,32188,0,0,95559,164.770,1281,1300
2023-05-17T20:24:05+0800,34572,0,0,145215,165.238,1283,1300
2023-05-17T20:24:10+0800,35768,0,0,176582,165.331,1283,1300
2023-05-17T20:24:15+0800,34537,0,0,132246,165.166,1282,1300
2023-05-17T20:24:20+0800,33435,0,0,165843,165.148,1284,1300
2023-05-17T20:24:25+0800,36034,0,0,191640,165.109,1286,1300
2023-05-17T20:24:30+0800,34405,0,0,154876,165.109,1286,1300
2023-05-17T20:24:35+0800,34675,0,0,139198,165.009,1287,1300
2023-05-17T20:24:40+0800,34640,0,0,123977,164.881,1288,1300
2023-05-17T20:24:45+0800,34425,0,0,178421,164.803,1287,1300
2023-05-17T20:24:50+0800,34171,0,0,152940,164.627,1286,1300
2023-05-17T20:24:55+0800,34710,0,0,142810,164.597,1284,1300
2023-05-17T20:25:00+0800,31353,0,0,171980,164.607,1284,1300
2023-05-17T20:25:05+0800,14817,0,0,44270,164.890,1284,1300
2023-05-17T20:25:10+0800,18404,0,0,77715,164.857,1285,1300
2023-05-17T20:25:15+0800,35543,0,0,187788,164.765,1285,1300
2023-05-17T20:25:20+0800,33530,0,0,197265,164.595,1282,1300
2023-05-17T20:25:25+0800,32712,0,0,158108,164.690,1281,1300
2023-05-17T20:25:30+0800,37009,0,0,154028,164.681,1280,1300
2023-05-17T20:25:35+0800,34142,0,0,135129,164.679,1280,1300
2023-05-17T20:25:40+0800,32762,0,0,106732,164.684,1280,1300
2023-05-17T20:25:45+0800,36750,0,0,160240,164.890,1280,1300
2023-05-17T20:25:50+0800,32775,0,0,230634,165.192,1280,1300
2023-05-17T20:25:55+0800,34450,0,0,108669,165.032,1278,1300
2023-05-17T20:26:00+0800,35485,0,0,165832,164.951,1281,1300
2023-05-17T20:26:05+0800,33738,0,0,181097,164.873,1282,1300
2023-05-17T20:26:10+0800,32497,0,0,149774,164.813,1282,1300
2023-05-17T20:26:15+0800,36508,0,0,154724,164.836,1284,1300
2023-05-17T20:26:20+0800,35035,0,0,126490,164.637,1286,1300
2023-05-17T20:26:25+0800,34459,0,0,136456,164.483,1286,1300
2023-05-17T20:26:30+0800,33609,0,0,159065,164.434,1287,1300
2023-05-17T20:26:35+0800,35735,0,0,114392,164.509,1287,1300
2023-05-17T20:26:40+0800,34649,0,0,97854,164.520,1287,1300
2023-05-17T20:26:45+0800,34509,0,0,168096,164.461,1286,1300
2023-05-17T20:26:50+0800,34441,0,0,93763,164.317,1288,1300
2023-05-17T20:26:55+0800,34602,0,0,120539,164.094,1289,1300
2023-05-17T20:27:00+0800,34288,0,0,137686,164.024,1288,1300
2023-05-17T20:27:05+0800,33386,0,0,184546,164.015,1289,1300
2023-05-17T20:27:10+0800,26767,0,0,135967,164.269,1289,1300
2023-05-17T20:27:15+0800,2480,0,0,49939,164.511,1288,1300
2023-05-17T20:27:20+0800,37194,0,0,138273,164.539,1289,1300
2023-05-17T20:27:25+0800,34721,0,0,128231,164.711,1290,1300
2023-05-17T20:27:30+0800,33036,0,0,152222,164.783,1289,1300
2023-05-17T20:27:35+0800,35354,0,0,145541,164.943,1287,1300
2023-05-17T20:27:40+0800,34511,0,0,114131,164.802,1288,1300
2023-05-17T20:27:45+0800,33807,0,0,116285,164.670,1289,1300
2023-05-17T20:27:50+0800,35649,0,0,107211,164.547,1288,1300
2023-05-17T20:27:55+0800,33541,0,0,122759,164.513,1289,1300
2023-05-17T20:28:00+0800,32366,0,0,141200,164.565,1288,1300
2023-05-17T20:28:05+0800,37168,0,0,119723,164.595,1287,1300
2023-05-17T20:28:10+0800,34538,0,0,128568,164.788,1287,1300
2023-05-17T20:28:15+0800,32038,0,0,106134,164.861,1288,1300
2023-05-17T20:28:20+0800,35787,0,0,127655,164.706,1289,1300
2023-05-17T20:28:25+0800,35346,0,0,184818,164.688,1289,1300
2023-05-17T20:28:30+0800,34582,0,0,100400,164.667,1290,1300
2023-05-17T20:28:35+0800,32658,0,0,161350,164.664,1289,1300
2023-05-17T20:28:40+0800,35980,0,0,96146,164.710,1289,1300
2023-05-17T20:28:45+0800,35041,0,0,163765,164.659,1290,1300
2023-05-17T20:28:50+0800,34601,0,0,140319,164.748,1290,1300
2023-05-17T20:28:55+0800,34596,0,0,150133,164.888,1290,1300
2023-05-17T20:29:00+0800,34512,0,0,125359,164.855,1291,1300
2023-05-17T20:29:05+0800,34052,0,0,169749,164.819,1292,1300
2023-05-17T20:29:10+0800,34920,0,0,127132,164.789,1292,1300
2023-05-17T20:29:15+0800,31226,0,0,67412,164.998,1290,1300
2023-05-17T20:29:20+0800,10035,0,0,77171,165.295,1290,1300
2023-05-17T20:29:25+0800,23609,0,0,168683,165.319,1291,1300
2023-05-17T20:29:30+0800,35138,0,0,136000,165.194,1291,1300
2023-05-17T20:29:35+0800,33413,0,0,141472,165.123,1292,1300
2023-05-17T20:29:40+0800,32715,0,0,169695,165.050,1293,1300
2023-05-17T20:29:45+0800,36222,0,0,94536,165.069,1293,1300
2023-05-17T20:29:50+0800,35283,0,0,162394,164.924,1292,1300
2023-05-17T20:29:55+0800,32359,0,0,89988,164.906,1293,1300
2023-05-17T20:30:00+0800,36745,0,0,154876,165.025,1292,1300
2023-05-17T20:30:05+0800,33274,0,0,141853,164.934,1291,1300
2023-05-17T20:30:10+0800,34957,0,0,119658,165.045,1292,1300
2023-05-17T20:30:15+0800,35129,0,0,133889,164.908,1291,1300
2023-05-17T20:30:20+0800,33442,0,0,65323,164.668,1290,1300
2023-05-17T20:30:25+0800,32483,0,0,130157,164.566,1291,1300
2023-05-17T20:30:30+0800,36917,0,0,143159,164.624,1292,1300
2023-05-17T20:30:35+0800,34895,0,0,86735,164.982,1292,1300
2023-05-17T20:30:40+0800,33890,0,0,145868,165.015,1292,1300
2023-05-17T20:30:45+0800,34442,0,0,157564,164.909,1291,1300
2023-05-17T20:30:50+0800,34841,0,0,141374,165.090,1291,1300
2023-05-17T20:30:55+0800,34852,0,0,135020,165.309,1288,1300
2023-05-17T20:31:00+0800,34669,0,0,125816,165.424,1289,1300
2023-05-17T20:31:05+0800,34408,0,0,152483,165.441,1288,1300
2023-05-17T20:31:10+0800,34620,0,0,76040,165.391,1287,1300
2023-05-17T20:31:15+0800,34352,0,0,107352,165.233,1288,1300
2023-05-17T20:31:20+0800,32877,0,0,120071,165.115,1287,1300
2023-05-17T20:31:25+0800,22402,0,0,95885,165.293,1287,1300
2023-05-17T20:31:30+0800,8292,0,0,183208,165.079,1267,1300
2023-05-17T20:31:35+0800,35997,0,0,101934,165.276,1269,1300
2023-05-17T20:31:40+0800,34744,0,0,191498,165.112,1272,1300
2023-05-17T20:31:45+0800,33201,0,0,119462,165.037,1275,1300
2023-05-17T20:31:50+0800,35849,0,0,115284,164.941,1278,1300
2023-05-17T20:31:55+0800,34432,0,0,91805,165.062,1280,1300
2023-05-17T20:32:00+0800,33309,0,0,159870,165.018,1280,1300
2023-05-17T20:32:05+0800,35675,0,0,136522,165.184,1282,1300
2023-05-17T20:32:10+0800,33464,0,0,122225,165.153,1284,1300
2023-05-17T20:32:15+0800,32494,0,0,150872,165.065,1284,1300
2023-05-17T20:32:20+0800,37518,0,0,162394,165.181,1281,1300
2023-05-17T20:32:25+0800,34625,0,0,185863,165.355,1281,1300
2023-05-17T20:32:30+0800,31669,0,0,160295,165.770,1279,1300
2023-05-17T20:32:35+0800,36415,0,0,148816,165.689,1276,1300
2023-05-17T20:32:40+0800,34709,0,0,134520,165.578,1279,1300
2023-05-17T20:32:45+0800,34747,0,0,56804,165.438,1282,1300
2023-05-17T20:32:50+0800,32092,0,0,122302,165.324,1282,1300
2023-05-17T20:32:55+0800,36841,0,0,170761,165.148,1284,1300
2023-05-17T20:33:00+0800,34911,0,0,126284,164.980,1285,1300
2023-05-17T20:33:05+0800,34436,0,0,163526,164.981,1285,1300
2023-05-17T20:33:10+0800,34595,0,0,101978,164.857,1285,1300
2023-05-17T20:33:15+0800,34399,0,0,162819,164.827,1285,1300
2023-05-17T20:33:20+0800,34357,0,0,199495,165.084,1283,1300
2023-05-17T20:33:25+0800,34610,0,0,128351,164.959,1283,1300
2023-05-17T20:33:30+0800,31390,0,0,123205,164.854,1285,1300
2023-05-17T20:33:35+0800,4919,0,0,29038,164.991,1285,1300
2023-05-17T20:33:40+0800,27710,0,0,80022,165.129,1285,1300
2023-05-17T20:33:45+0800,35646,0,0,105557,165.056,1284,1300
2023-05-17T20:33:50+0800,33333,0,0,131397,165.072,1282,1300
2023-05-17T20:33:55+0800,33573,0,0,130026,165.042,1280,1300
2023-05-17T20:34:00+0800,35317,0,0,102478,165.032,1279,1300
2023-05-17T20:34:05+0800,35573,0,0,99617,165.092,1280,1300
2023-05-17T20:34:10+0800,32020,0,0,171457,165.296,1280,1300
2023-05-17T20:34:15+0800,37203,0,0,117221,165.413,1280,1300
2023-05-17T20:34:20+0800,32417,0,0,83721,165.329,1282,1300
2023-05-17T20:34:25+0800,35806,0,0,118189,165.358,1282,1300
2023-05-17T20:34:30+0800,34926,0,0,150513,165.258,1283,1300
2023-05-17T20:34:35+0800,32881,0,0,194969,165.078,1285,1300
2023-05-17T20:34:40+0800,33887,0,0,129450,165.118,1285,1300
2023-05-17T20:34:45+0800,36075,0,0,86615,165.316,1286,1300
2023-05-17T20:34:50+0800,34710,0,0,136272,165.179,1287,1300
2023-05-17T20:34:55+0800,33624,0,0,114631,165.102,1288,1300
2023-05-17T20:35:00+0800,35356,0,0,64790,165.197,1287,1300
2023-05-17T20:35:05+0800,34593,0,0,109050,165.032,1286,1300
2023-05-17T20:35:10+0800,34928,0,0,133845,164.997,1288,1300
2023-05-17T20:35:15+0800,34513,0,0,117144,165.002,1289,1300
2023-05-17T20:35:20+0800,34315,0,0,119941,164.834,1288,1300
2023-05-17T20:35:25+0800,34655,0,0,118864,164.886,1289,1300
2023-05-17T20:35:30+0800,34185,0,0,116590,164.736,1288,1300
2023-05-17T20:35:35+0800,32389,0,0,146172,164.690,1288,1300
2023-05-17T20:35:40+0800,18344,0,0,50091,164.907,1289,1300
2023-05-17T20:35:45+0800,14840,0,0,125446,164.962,1290,1300
2023-05-17T20:35:50+0800,34601,0,0,98279,165.143,1291,1300
2023-05-17T20:35:55+0800,33996,0,0,127676,165.123,1290,1300
2023-05-17T20:36:00+0800,32967,0,0,141472,165.024,1291,1300
2023-05-17T20:36:05+0800,36279,0,0,51342,165.065,1291,1300
2023-05-17T20:36:10+0800,34660,0,0,114196,165.076,1290,1300
2023-05-17T20:36:15+0800,32825,0,0,121507,165.081,1291,1300
2023-05-17T20:36:20+0800,36248,0,0,101804,164.952,1290,1300
2023-05-17T20:36:25+0800,33127,0,0,99747,164.929,1289,1300
2023-05-17T20:36:30+0800,33929,0,0,162960,164.886,1290,1300
2023-05-17T20:36:35+0800,36074,0,0,97136,164.953,1289,1300
2023-05-17T20:36:40+0800,34084,0,0,131571,164.945,1289,1300
2023-05-17T20:36:45+0800,32654,0,0,152874,164.891,1289,1300
2023-05-17T20:36:50+0800,36188,0,0,143300,164.838,1290,1300
2023-05-17T20:36:55+0800,34785,0,0,100204,164.829,1291,1300
2023-05-17T20:37:00+0800,34539,0,0,229013,164.758,1290,1300
2023-05-17T20:37:05+0800,33043,0,0,107527,164.645,1289,1300
2023-05-17T20:37:10+0800,36086,0,0,134204,164.750,1289,1300
2023-05-17T20:37:15+0800,34578,0,0,105002,164.810,1288,1300
2023-05-17T20:37:20+0800,34566,0,0,48100,164.980,1288,1300
2023-05-17T20:37:25+0800,34500,0,0,93981,165.232,1289,1300
2023-05-17T20:37:30+0800,34484,0,0,115523,165.237,1288,1300
2023-05-17T20:37:35+0800,34541,0,0,118885,165.438,1289,1300
2023-05-17T20:37:40+0800,33907,0,0,160360,165.465,1290,1300
2023-05-17T20:37:45+0800,30105,0,0,41746,165.604,1289,1300
2023-05-17T20:37:50+0800,2206,0,0,40669,165.752,1288,1300
2023-05-17T20:37:55+0800,32993,0,0,85864,165.739,1287,1300
2023-05-17T20:38:00+0800,35460,0,0,108680,165.481,1288,1300
2023-05-17T20:38:05+0800,33022,0,0,76062,165.328,1287,1300
2023-05-17T20:38:10+0800,35329,0,0,90434,165.231,1286,1300
2023-05-17T20:38:15+0800,33889,0,0,144094,165.165,1288,1300
2023-05-17T20:38:20+0800,34662,0,0,113075,164.938,1287,1300
2023-05-17T20:38:25+0800,33837,0,0,123640,164.796,1287,1300
2023-05-17T20:38:30+0800,35562,0,0,125816,164.673,1288,1300
2023-05-17T20:38:35+0800,32113,0,0,97332,164.597,1287,1300
2023-05-17T20:38:40+0800,36821,0,0,156008,164.599,1287,1300
2023-05-17T20:38:45+0800,34897,0,0,115632,164.581,1288,1300
2023-05-17T20:38:50+0800,32316,0,0,132627,164.477,1288,1300
2023-05-17T20:38:55+0800,34630,0,0,103142,164.561,1288,1300
2023-05-17T20:39:00+0800,35752,0,0,148011,164.532,1287,1300
2023-05-17T20:39:05+0800,34524,0,0,142332,164.611,1288,1300
2023-05-17T20:39:10+0800,33371,0,0,129841,164.602,1288,1300
2023-05-17T20:39:15+0800,35978,0,0,105601,164.842,1287,1300
2023-05-17T20:39:20+0800,34480,0,0,177779,164.868,1288,1300
2023-05-17T20:39:25+0800,34663,0,0,145106,164.981,1287,1300
2023-05-17T20:39:30+0800,34516,0,0,107875,165.332,1286,1300
2023-05-17T20:39:35+0800,34467,0,0,162764,165.186,1287,1300
2023-05-17T20:39:40+0800,34211,0,0,200768,165.130,1286,1300
2023-05-17T20:39:45+0800,34859,0,0,129112,165.085,1288,1300
2023-05-17T20:39:50+0800,31239,0,0,101271,164.912,1289,1300
2023-05-17T20:39:55+0800,14181,0,0,53725,165.257,1288,1300
2023-05-17T20:40:00+0800,19247,0,0,136674,165.173,1288,1300
2023-05-17T20:40:05+0800,35318,0,0,122008,165.206,1289,1300
2023-05-17T20:40:10+0800,33804,0,0,175646,164.975,1290,1300
2023-05-17T20:40:15+0800,32767,0,0,111955,164.900,1289,1300
2023-05-17T20:40:20+0800,36725,0,0,159914,164.978,1288,1300
2023-05-17T20:40:25+0800,34437,0,0,109104,164.836,1289,1300
2023-05-17T20:40:30+0800,32603,0,0,168357,164.787,1290,1300
2023-05-17T20:40:35+0800,36648,0,0,111574,164.793,1289,1300
2023-05-17T20:40:40+0800,32990,0,0,213509,164.655,1290,1300
2023-05-17T20:40:45+0800,34881,0,0,160175,164.653,1289,1300
2023-05-17T20:40:50+0800,35301,0,0,163874,164.745,1287,1300
2023-05-17T20:40:55+0800,33571,0,0,169695,164.805,1282,1300
2023-05-17T20:41:00+0800,32256,0,0,121137,164.790,1284,1300
2023-05-17T20:41:05+0800,36825,0,0,184655,165.053,1282,1300
2023-05-17T20:41:10+0800,34920,0,0,156443,165.227,1282,1300
2023-05-17T20:41:15+0800,34324,0,0,177626,165.220,1284,1300
2023-05-17T20:41:20+0800,33728,0,0,163493,165.138,1286,1300
2023-05-17T20:41:25+0800,35789,0,0,194828,164.931,1286,1300
2023-05-17T20:41:30+0800,34621,0,0,164396,164.817,1286,1300
2023-05-17T20:41:35+0800,34485,0,0,134183,164.807,1288,1300
2023-05-17T20:41:40+0800,34445,0,0,191814,164.716,1288,1300
2023-05-17T20:41:45+0800,34574,0,0,123466,164.628,1286,1300
2023-05-17T20:41:50+0800,34264,0,0,155475,164.547,1285,1300
2023-05-17T20:41:55+0800,33318,0,0,87496,164.584,1285,1300
2023-05-17T20:42:00+0800,25978,0,0,36458,164.830,1284,1300
2023-05-17T20:42:05+0800,3393,0,0,102304,164.930,1278,1300
2023-05-17T20:42:10+0800,37025,0,0,167138,164.808,1280,1300
2023-05-17T20:42:15+0800,34726,0,0,60743,164.973,1278,1300
2023-05-17T20:42:20+0800,32994,0,0,140112,164.800,1277,1300
2023-05-17T20:42:25+0800,35318,0,0,95569,165.252,1278,1300
2023-05-17T20:42:30+0800,34674,0,0,135096,165.195,1279,1300
2023-05-17T20:42:35+0800,33532,0,0,143485,165.145,1280,1300
2023-05-17T20:42:40+0800,35831,0,0,140928,165.044,1282,1300
2023-05-17T20:42:45+0800,33330,0,0,169532,165.300,1282,1300
2023-05-17T20:42:50+0800,32526,0,0,174145,165.369,1283,1300
2023-05-17T20:42:55+0800,37068,0,0,159065,165.216,1285,1300
2023-05-17T20:43:00+0800,34641,0,0,119244,165.214,1287,1300
2023-05-17T20:43:05+0800,31859,0,0,164462,164.932,1286,1300
2023-05-17T20:43:10+0800,35986,0,0,128579,164.756,1286,1300
2023-05-17T20:43:15+0800,35301,0,0,130744,164.736,1288,1300
2023-05-17T20:43:20+0800,34722,0,0,113043,164.737,1287,1300
2023-05-17T20:43:25+0800,32432,0,0,121105,164.832,1287,1300
2023-05-17T20:43:30+0800,35922,0,0,91446,164.592,1288,1300
2023-05-17T20:43:35+0800,35284,0,0,103773,164.629,1287,1300
2023-05-17T20:43:40+0800,34563,0,0,169956,164.416,1287,1300
2023-05-17T20:43:45+0800,34462,0,0,130647,164.401,1288,1300
2023-05-17T20:43:50+0800,34625,0,0,153832,164.374,1289,1300
2023-05-17T20:43:55+0800,34076,0,0,171653,164.365,1290,1300
2023-05-17T20:44:00+0800,34769,0,0,171729,164.382,1289,1300
2023-05-17T20:44:05+0800,31519,0,0,121779,164.465,1290,1300
2023-05-17T20:44:10+0800,9136,0,0,31562,164.625,1289,1300
2023-05-17T20:44:15+0800,24187,0,0,110247,164.784,1288,1300
2023-05-17T20:44:20+0800,35308,0,0,177594,164.975,1288,1300
2023-05-17T20:44:25+0800,33253,0,0,112803,165.172,1288,1300
